"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.138342091E0,2.070474625E-1,8.886909485E-1,-6.049308777E-1
1.143397404E0,1.703670025E-1,8.911027908E-1,-5.406856537E-1
1.148359487E0,6.264734268E-2,8.075838089E-1,-6.118402481E-1
1.153314852E0,1.092290878E-2,6.891951561E-1,-4.662084579E-1
1.158275112E0,-1.235277653E-1,5.889954567E-1,-3.710708618E-1
1.163233185E0,-1.501889229E-1,5.713977814E-1,-3.738713264E-1
1.168193862E0,-1.171765327E-1,4.215121269E-1,-3.597130775E-1
1.173149643E0,-6.265759468E-2,2.901997566E-1,-2.139291763E-1
1.178110112E0,2.785730362E-2,1.992301941E-1,-4.362821579E-2
1.183070216E0,-2.254891396E-2,1.343379021E-1,-5.853271484E-2
1.188033602E0,-2.984786034E-2,9.560394287E-2,-5.500459671E-2
1.192991310E0,-1.583027840E-2,6.868648529E-2,-1.639175415E-2
1.197947664E0,-3.279161453E-2,1.325225830E-2,-3.059816360E-2
1.202906622E0,-3.482341766E-2,-4.917669296E-2,-9.724855423E-2
1.207866674E0,-1.236343384E-2,-1.400332451E-1,-1.159710884E-1
1.212824435E0,-9.436511993E-2,-2.280988693E-1,-1.655511856E-1
1.217784383E0,-1.182310581E-1,-3.466124535E-1,-8.353853226E-2
1.222707716E0,-1.133675575E-1,-3.641242981E-1,5.562543869E-2
1.227701206E0,-1.655588150E-1,-3.401737213E-1,8.789253235E-2
1.232685997E0,-1.913850307E-1,-2.869725227E-1,1.517047882E-1
1.237646154E0,-1.575067043E-1,-1.688041687E-1,2.327380180E-1
1.242600424E0,-1.022377014E-1,-6.222724915E-2,2.618002892E-1
1.247563185E0,1.991677284E-2,-2.209377289E-2,2.271986008E-1
1.252571883E0,1.354532242E-1,1.893043518E-3,1.746821404E-1
1.257629695E0,2.206563950E-1,4.293584824E-2,9.926319122E-2
1.262660372E0,1.961245537E-1,9.325599670E-2,2.622509003E-2
1.267676622E0,1.124844551E-1,9.554290771E-2,-1.584482193E-2
1.272706362E0,5.343198776E-2,1.406946182E-1,-4.603385925E-2
1.277766883E0,2.822566032E-2,1.427884102E-1,-9.534931183E-2
1.282822664E0,5.549407005E-2,1.327843666E-1,-8.300876617E-2
1.287881831E0,2.519893646E-2,1.992053986E-1,8.399200439E-2
1.292939643E0,7.069230080E-2,2.631430626E-1,1.021614075E-1
1.298020841E0,7.708764076E-2,3.243951797E-1,3.380966187E-2
1.303067456E0,1.038606167E-1,3.587374687E-1,6.236124039E-2
1.308113029E0,6.274127960E-2,5.072398186E-1,1.901707649E-1
1.313171154E0,5.902218819E-2,5.734801292E-1,-1.630721092E-1
1.318250372E0,6.456875801E-2,5.904340744E-1,-4.380569458E-1
1.323309070E0,1.081886292E-1,6.132183075E-1,-3.487329483E-1
1.328344539E0,1.654779911E-1,5.871758461E-1,-3.113303185E-1
1.333426049E0,1.333112717E-1,5.076665878E-1,-4.379420280E-1
1.338460268E0,1.302065849E-1,5.200777054E-1,-3.994636536E-1
1.343518341E0,1.130666733E-1,5.577707291E-1,-2.174267769E-1
1.348575997E0,1.176147461E-1,5.086488724E-1,-8.784055710E-2
1.353634227E0,8.200478554E-2,4.684405327E-1,7.545995712E-2
1.358692404E0,1.042442322E-1,4.134702682E-1,1.843738556E-1
1.363751049E0,4.343247414E-2,3.508610725E-1,2.080349922E-1
1.368808549E0,-2.153992653E-2,3.117103577E-1,2.398247719E-1
1.373866362E0,-4.780697823E-2,2.864637375E-1,2.487702370E-1
1.378924487E0,-1.592874527E-2,3.108749390E-1,2.590017319E-1
1.383927299E0,1.152029037E-1,3.106660843E-1,2.395811081E-1
1.388866258E0,1.577289104E-1,2.930302620E-1,2.695655823E-1
1.393825633E0,1.718764305E-1,4.469919205E-1,5.474033356E-1
1.398784070E0,1.074738503E-1,4.613695145E-1,3.107185364E-1
1.403745268E0,6.734204292E-2,3.738722801E-1,-6.993198395E-2
